iter	Passed	Remaining
244	487	1502
245	489	1501
246	491	1498
247	492	1493
248	493	1488
249	494	1484
250	495	1479
251	496	1474
252	498	1470
253	499	1466
254	500	1462
255	501	1457
256	502	1453
257	505	1454
258	507	1450
259	508	1446
260	509	1441
261	510	1437
262	511	1432
263	512	1428
264	513	1424
265	514	1420
266	516	1419
267	518	1415
268	521	1415
269	523	1414
270	524	1411
271	526	1408
272	527	1405
273	528	1401
274	530	1398
275	531	1394
276	532	1390
277	534	1388
278	536	1386
279	538	1384
280	539	1381
281	541	1377
282	542	1373
283	543	1369
284	544	1366
285	545	1362
286	546	1358
287	549	1358
288	552	1358
289	554	1358
290	556	1355
291	557	1352
292	559	1349
293	560	1345
294	561	1341
295	562	1337
296	565	1338
297	567	1337
298	569	1336
299	571	1334
300	573	1331
301	574	1327
302	575	1323
303	576	1319
304	579	1319
305	581	1318
306	583	1317
307	585	1315
308	586	1311
309	587	1307
310	588	1304
311	589	1300
312	590	1296
313	593	1295
314	595	1294
315	597	1293
316	599	1292
317	601	1289
318	602	1285
319	603	1282
320	604	1279
321	606	1276
322	609	1278
323	612	1278
324	615	1277
325	616	1274
326	617	1271
327	619	1269
328	620	1266
329	622	1263
330	624	1261
331	625	1259
332	628	1259
333	630	1257
334	631	1253
335	632	1250
336	633	1247
337	635	1245
338	638	1245
339	643	1249
340	645	1246
341	646	1243
342	647	1240
343	649	1238
344	650	1234
345	651	1232
346	655	1234
347	658	1233
348	659	1230
349	661	1227
350	662	1224
351	663	1221
352	665	1219
353	667	1218
354	670	1217
355	672	1216
356	675	1216
357	676	1213
358	678	1210
359	679	1207
360	680	1204
361	682	1202
362	684	1200
363	687	1200
364	688	1198
365	690	1195
366	691	1192
367	692	1189
368	693	1185
369	694	1182
370	695	1179
371	697	1177
372	700	1176
373	702	1176
374	703	1173
375	704	1169
376	722	1194
377	723	1190
378	724	1187
379	725	1184
380	726	1180
381	729	1179
382	731	1178
383	733	1177
384	735	1174
385	736	1171
386	737	1167
387	738	1164
388	739	1160
389	740	1157
390	741	1154
391	742	1151
392	744	1150
393	747	1149
394	749	1147
395	750	1144
396	751	1141
397	752	1138
398	753	1135
399	754	1131
400	755	1128
401	756	1125
402	757	1122
403	761	1123
404	765	1123
405	766	1121
406	767	1118
407	768	1115
408	770	1112
409	771	1109
410	772	1107
411	775	1106
412	777	1104
413	779	1103
414	780	1100
415	781	1097
416	783	1094
417	784	1091
418	784	1088
419	785	1085
420	786	1081
421	788	1079
422	790	1077
423	792	1076
424	794	1074
425	795	1071
426	796	1068
427	797	1065
428	798	1062
429	799	1059
430	799	1056
431	800	1052
432	801	1049
433	804	1049
434	806	1047
435	808	1045
436	809	1042
437	810	1040
438	811	1037
439	812	1034
440	813	1031
441	814	1028
442	815	1025
443	816	1022
444	819	1021
445	821	1020
446	823	1019
447	825	1016
448	826	1013
449	827	1011
450	828	1008
451	829	1005
452	830	1002
453	831	1000
454	833	998
